,label,youtube_id,time_start,time_end,split
0,eating burger,-AMpy1HyBfk,261,271,train
1,eating burger,-EKim35KYjw,86,96,train
2,eating burger,-FbSzomWtWw,14,24,train
3,eating burger,-K0IfPryIyM,3,13,train
4,eating burger,-MLaikEunpU,4,14,train
5,eating burger,-X094A_ynWs,38,48,train
6,eating burger,-ZgS98Hnqlg,2,12,train
7,eating burger,-cYpXpLR6U8,16,26,train
8,eating burger,-iSGfbC4rYc,37,47,train
9,eating burger,-lFj-luqWJs,263,273,train
10,eating burger,-rrLBuZ7z7I,144,154,train
11,eating burger,-xUJmgXYHzc,9,19,train
12,eating burger,02f6Is0GYjo,138,148,train
13,eating burger,038CcPZEBn4,14,24,train
14,eating burger,04eNnDUik_o,16,26,train
15,eating burger,06pj__z8U5c,43,53,train
16,eating burger,0FIJ-cyhP2k,10,20,train
17,eating burger,0VCPV_Jff9w,0,10,train
18,eating burger,0allFSHXKRg,248,258,train
19,eating burger,0cmDsag0l9U,77,87,train
20,eating burger,0mTZJz2aJRk,80,90,train
21,eating burger,1-fccTBU0FM,11,21,train
22,eating burger,1-o0dctUmb4,7,17,train
23,eating burger,11KUaoLJLz8,0,10,train
24,eating burger,13FaifysWSE,14,24,train
25,eating burger,1Ih4HSzwGK4,7,17,train
26,eating burger,1KZBTQld_Ww,134,144,train
27,eating burger,1QjO3xDvNUY,429,439,train
28,eating burger,1T96rNVSVQ4,25,35,train
29,eating burger,1XklZnvQcGY,97,107,train
30,eating burger,1cBRm3FXAKk,3,13,train
31,eating burger,1dmfliZM2NI,1,11,train
32,eating burger,1gS5Udgciy0,52,62,train
33,eating burger,1iaNDO810wA,936,946,train
34,eating burger,1n1Fn0PhLxc,4,14,train
35,eating burger,1vfy8JAKG4w,84,94,train
36,eating burger,1viCCaNGFC0,47,57,train
37,eating burger,1wwrIONzPAw,4,14,train
38,eating burger,2-ithL_QE0I,20,30,train
39,eating burger,2B4NQC26en8,4,14,train
40,eating burger,2BqRWvR7pNA,251,261,train
41,eating burger,2DqelQSPOVA,245,255,train
42,eating burger,2EB2fdfp1RI,124,134,train
43,eating burger,2HmWkl5uokU,37,47,train
44,eating burger,2K0T_s36MwQ,1,11,train
45,eating burger,2KadJ3JNKOE,270,280,train
46,eating burger,2MVnbt1Iv5Q,22,32,train
47,eating burger,2QrUco_BzEg,39,49,train
48,eating burger,2RRL1bWL7Ro,13,23,train
49,eating burger,2Sf6pMkfk-I,16,26,train
50,eating burger,2doPoIHWJCo,4,14,train
51,eating burger,2tXe2VtMZkE,41,51,train
52,eating burger,3-PSD0BJ0e0,1,11,train
53,eating burger,3-kLb-ktz8w,17,27,train
54,eating burger,39QgzQvgb9c,269,279,train
55,eating burger,3FN5FSvkUTU,6,16,train
56,eating burger,3Fcc4eZw-Yw,5,15,train
57,eating burger,3HwKn6QoQNc,29,39,train
58,eating burger,3I6SpNPq80Y,580,590,train
59,eating burger,3VMYkmjHhU8,0,10,train
60,eating burger,3XOhdC5g0RE,43,53,train
61,eating burger,3dxo_UUlSSk,10,20,train
62,eating burger,3gzb3eClZAA,126,136,train
63,eating burger,3nrZzEzpc4A,56,66,train
64,eating burger,3t8j3pngB-4,51,61,train
65,eating burger,444ttvjMD4Y,361,371,train
66,eating burger,44zRzkUKp_U,39,49,train
67,eating burger,47eVDWUgYv0,0,10,train
68,eating burger,4HJBp4bjh-M,104,114,train
69,eating burger,4QCfGL2Hn_w,5,15,train
70,eating burger,4SMJWP3YVHg,34,44,train
71,eating burger,4ett-vYZHFk,77,87,train
72,eating burger,50OZd2MqrQE,5,15,train
73,eating burger,55QC6M8GK7Y,6,16,train
74,eating burger,57zmYWzpzYE,0,10,train
75,eating burger,5AW21HR3ENo,150,160,train
76,eating burger,5DEI1FulNfo,40,50,train
77,eating burger,5EOWBQgliyM,32,42,train
78,eating burger,5JUzw2daTLI,61,71,train
79,eating burger,5K6GiBk7-B8,20,30,train
80,eating burger,5SKnbnwk9WY,49,59,train
81,eating burger,5TApaq5NqEs,74,84,train
82,eating burger,5TFlaq99d9I,209,219,train
83,eating burger,5bp24Zr9ZTY,1,11,train
84,eating burger,5f43dfd6Af8,20,30,train
85,eating burger,5rcLm34Jbbo,7,17,train
86,eating burger,61ce8GTb6oE,185,195,train
87,eating burger,62ICp02GySc,32,42,train
88,eating burger,6548qdIrmWM,78,88,train
89,eating burger,68gfhy78haI,261,271,train
90,eating burger,6Exgb74nMgY,4,14,train
91,eating burger,6RpKmqsqmww,69,79,train
92,eating burger,6WA23wNZAK8,9,19,train
93,eating burger,6_N6xlmf9aQ,172,182,train
94,eating burger,6nF4Vy9DOz0,67,77,train
95,eating burger,6vDBpgVtZUk,28,38,train
96,eating burger,70hhJrk38AU,0,10,train
97,eating burger,71Kc24MxBsw,2,12,train
98,eating burger,72P8JKpTDeg,246,256,train
99,eating burger,73wZSfVeUGE,6,16,train
100,eating cake,--gtKHP3Q8E,0,10,train
101,eating cake,-4eq1mr1RYo,107,117,train
102,eating cake,-7yNDPMfE4Q,6,16,train
103,eating cake,-99FJoONrIc,6,16,train
104,eating cake,-RnFoMT98A4,0,10,train
105,eating cake,-VJcRq2cieI,36,46,train
106,eating cake,-eV9XdqPzD8,50,60,train
107,eating cake,-jHa8jhdS08,116,126,train
108,eating cake,-jaHCh62ksw,9,19,train
109,eating cake,-vXAKEKKJ5Y,50,60,train
110,eating cake,-xG_VN2tkLE,167,177,train
111,eating cake,0Jpl4du8F8o,15,25,train
112,eating cake,0XcKZV9caHA,55,65,train
113,eating cake,0_SNcDF2wHc,29,39,train
114,eating cake,0pQACKjlllc,2,12,train
115,eating cake,0pwbaBCwkM0,63,73,train
116,eating cake,0vBGQkI_hmo,107,117,train
117,eating cake,0zQpeJkyIsY,53,63,train
118,eating cake,1E3C6qDzdRM,50,60,train
119,eating cake,1G0RbpsS_aE,8,18,train
120,eating cake,1MalQivikJw,0,10,train
121,eating cake,1YYPDC2Ig18,9,19,train
122,eating cake,1ZJEf2ev9HE,162,172,train
123,eating cake,1hgsZ-MxAwE,33,43,train
124,eating cake,1hsPs3_ipYQ,229,239,train
125,eating cake,1jsegXU3Tp4,49,59,train
126,eating cake,1pd9-tf17NE,5,15,train
127,eating cake,1rLgHXNOoqI,13,23,train
128,eating cake,204paeNUW8I,0,10,train
129,eating cake,20TEgReQZOQ,21,31,train
130,eating cake,26ZJu9pl2pM,10,20,train
131,eating cake,27dwD5GjkYA,82,92,train
132,eating cake,2CqbbPZTB5E,28,38,train
133,eating cake,2DMxUUkDgFI,2,12,train
134,eating cake,2PPHCigqvfU,6,16,train
135,eating cake,2Rfxz5iZKKs,85,95,train
136,eating cake,2U52-QOtmA4,478,488,train
137,eating cake,2U9aQ2m9FiE,50,60,train
138,eating cake,2VeBOZMa0cM,41,51,train
139,eating cake,2W0luVW5qek,9,19,train
140,eating cake,2W2Ju_g8Fno,124,134,train
141,eating cake,2WtmYtTUr_c,90,100,train
142,eating cake,2buPVKtWU5M,9,19,train
143,eating cake,2dlJx21beTw,20,30,train
144,eating cake,2eYMcKwGo3A,45,55,train
145,eating cake,2gRK4WXfjRg,23,33,train
146,eating cake,2j8zidMcXPA,37,47,train
147,eating cake,2kBTfs20LEw,63,73,train
148,eating cake,2mFclrl0wo8,44,54,train
149,eating cake,39iZKeko8-Y,45,55,train
150,eating cake,3F7IVE1kxVU,82,92,train
151,eating cake,3YEj1xntlPo,48,58,train
152,eating cake,3eW4SzMYtOk,45,55,train
153,eating cake,3h0lnNztz3U,26,36,train
154,eating cake,3xnLJ3bjOD0,4,14,train
155,eating cake,3xssCibHYe0,26,36,train
156,eating cake,45Ikkc67le0,3,13,train
157,eating cake,45dG3ss8FMc,6,16,train
158,eating cake,48ezk8aL8oU,105,115,train
159,eating cake,48f5oAtAusA,7,17,train
160,eating cake,48hv5KtmUBA,2,12,train
161,eating cake,48k2utczthE,11,21,train
162,eating cake,4CLKSIBDx30,4,14,train
163,eating cake,4EZs8ShkVEk,92,102,train
164,eating cake,4H8Vi0i7EX4,33,43,train
165,eating cake,4MxZMWptmeg,69,79,train
166,eating cake,4NEOPglw-zM,0,10,train
167,eating cake,4VA2lbURRzA,56,66,train
168,eating cake,4Wig5ngmxrQ,15,25,train
169,eating cake,4YE8ZJyVNTg,8,18,train
170,eating cake,4YPBepPHJuk,18,28,train
171,eating cake,4ZSCNiVhOjo,45,55,train
172,eating cake,4f5Cmellhjw,15,25,train
173,eating cake,4fLk_a8w4z8,4,14,train
174,eating cake,4fwEL41mQAs,0,10,train
175,eating cake,4h899lW75vU,82,92,train
176,eating cake,4j1J3fKczn0,27,37,train
177,eating cake,4mnnAWp42cg,232,242,train
178,eating cake,54k8Tt0h3MU,1,11,train
179,eating cake,555V20ydYMU,70,80,train
180,eating cake,58hW0MFZsek,12,22,train
181,eating cake,5C06x9m9avo,46,56,train
182,eating cake,5EVin3aUZTM,31,41,train
183,eating cake,5GNA1wOpfPk,216,226,train
184,eating cake,5K0328Azaso,176,186,train
185,eating cake,5NDxQ0cPWHo,10,20,train
186,eating cake,5Njk6-hrrCg,106,116,train
187,eating cake,5UU3iRQW28U,0,10,train
188,eating cake,5V75OcSj-9A,72,82,train
189,eating cake,5Y8WG17lfQw,53,63,train
190,eating cake,5Ye3otc3npc,14,24,train
191,eating cake,5YlKj7XvXR4,9,19,train
192,eating cake,5Ynco5D1QNE,1,11,train
193,eating cake,5bGIB5MT7iQ,50,60,train
194,eating cake,5cd1l0EXvwM,65,75,train
195,eating cake,5rhvFQFq2nc,16,26,train
196,eating cake,5smovD63hvc,74,84,train
197,eating cake,5zJIBhZJR1M,0,10,train
198,eating cake,5ztRF9u75Ns,22,32,train
199,eating cake,67BRTo7ao5U,2,12,train
200,eating carrots,-H2CqflbVCs,20,30,train
201,eating carrots,-U-LjsCUyI4,27,37,train
202,eating carrots,-dl427XRsOE,11,21,train
203,eating carrots,-drAc7uvFBc,39,49,train
204,eating carrots,-gY-pXcHyVM,1,11,train
205,eating carrots,0qFPNlKijPs,3,13,train
206,eating carrots,0xnCNE-76Mw,5,15,train
207,eating carrots,1C8uNo0ERek,33,43,train
208,eating carrots,1HW0xxQBjiU,138,148,train
209,eating carrots,1UVh17CIaZ0,14,24,train
210,eating carrots,1kMxaTdtQP0,0,10,train
211,eating carrots,1rQaP5Kf5Xw,19,29,train
212,eating carrots,1t6qClHwXq0,5,15,train
213,eating carrots,1xDhfBuATZ0,27,37,train
214,eating carrots,2DVeKoTkJVI,37,47,train
215,eating carrots,2FM5UIAx2o4,75,85,train
216,eating carrots,2MlmjE0Il60,25,35,train
217,eating carrots,2aPVxlEm5r8,86,96,train
218,eating carrots,2hJJDGKmJc0,54,64,train
219,eating carrots,2lmqguSiCl8,32,42,train
220,eating carrots,3ELUJhfK1ZE,14,24,train
221,eating carrots,3S5ROYxk1Go,168,178,train
222,eating carrots,3W3bGkkFjnY,95,105,train
223,eating carrots,3kavSc71JM8,3,13,train
224,eating carrots,3sSxqG80obE,47,57,train
225,eating carrots,3xPxyk8p-HE,19,29,train
226,eating carrots,45idT3DXxoQ,4,14,train
227,eating carrots,47sZcVTD3KY,8,18,train
228,eating carrots,4HHZU5l3--I,0,10,train
229,eating carrots,4O5A-S6R0b4,5,15,train
230,eating carrots,4P1kp5oqA8I,96,106,train
231,eating carrots,4WbHRCgk7c0,101,111,train
232,eating carrots,4YDd3Rc9dp0,20,30,train
233,eating carrots,4iw3AyynAYs,0,10,train
234,eating carrots,4x-fjHmbkFc,76,86,train
235,eating carrots,4yXJGJJikXY,7,17,train
236,eating carrots,5-_meidA0Hs,19,29,train
237,eating carrots,581gZgQBgj8,16,26,train
238,eating carrots,5ClDwEnrZ0o,48,58,train
239,eating carrots,5IDmwMkbpo4,20,30,train
240,eating carrots,5I__rBORXAU,56,66,train
241,eating carrots,5OpMcQDSAgg,48,58,train
242,eating carrots,5QiLar48_v4,240,250,train
243,eating carrots,5Re_1P3z2p8,22,32,train
244,eating carrots,5THiEtb1wPI,0,10,train
245,eating carrots,5VZeGJqeRZU,87,97,train
246,eating carrots,5YaxMUGVMq4,7,17,train
247,eating carrots,5d7uG1loKw0,135,145,train
248,eating carrots,5ia0yWGld3o,1,11,train
249,eating carrots,5rU-PmR7uHg,12,22,train
